Sample in Buffer,Sample in Window,TRIGGER,design_1_i/processing_system7_0_M_AXI_GP0_WREADY,design_1_i/processing_system7_0_M_AXI_GP0_AWADDR[31:0],design_1_i/processing_system7_0_M_AXI_GP0_BRESP[1:0],design_1_i/processing_system7_0_M_AXI_GP0_BVALID,design_1_i/processing_system7_0_M_AXI_GP0_BREADY,design_1_i/processing_system7_0_M_AXI_GP0_ARADDR[31:0],design_1_i/processing_system7_0_M_AXI_GP0_RREADY,design_1_i/processing_system7_0_M_AXI_GP0_WVALID,design_1_i/processing_system7_0_M_AXI_GP0_ARVALID,design_1_i/processing_system7_0_M_AXI_GP0_ARREADY,design_1_i/processing_system7_0_M_AXI_GP0_RDATA[31:0],design_1_i/processing_system7_0_M_AXI_GP0_AWVALID,design_1_i/processing_system7_0_M_AXI_GP0_AWREADY,design_1_i/processing_system7_0_M_AXI_GP0_RRESP[1:0],design_1_i/processing_system7_0_M_AXI_GP0_WDATA[31:0],design_1_i/processing_system7_0_M_AXI_GP0_WSTRB[3:0],design_1_i/processing_system7_0_M_AXI_GP0_RVALID,design_1_i/processing_system7_0_M_AXI_GP0_ARPROT[2:0],design_1_i/processing_system7_0_M_AXI_GP0_AWPROT[2:0],design_1_i/processing_system7_0_M_AXI_GP0_AWID[11:0],design_1_i/processing_system7_0_M_AXI_GP0_BID[11:0],design_1_i/processing_system7_0_M_AXI_GP0_AWLEN[3:0],design_1_i/<const0>_1,design_1_i/processing_system7_0_M_AXI_GP0_AWSIZE[2:0],design_1_i/processing_system7_0_M_AXI_GP0_AWBURST[1:0],design_1_i/processing_system7_0_M_AXI_GP0_ARID[11:0],design_1_i/processing_system7_0_M_AXI_GP0_AWLOCK[1:0],design_1_i/processing_system7_0_M_AXI_GP0_ARLEN[3:0],design_1_i/processing_system7_0_M_AXI_GP0_ARSIZE[2:0],design_1_i/processing_system7_0_M_AXI_GP0_ARBURST[1:0],design_1_i/processing_system7_0_M_AXI_GP0_ARLOCK[1:0],design_1_i/processing_system7_0_M_AXI_GP0_ARCACHE[3:0],design_1_i/processing_system7_0_M_AXI_GP0_AWCACHE[3:0],design_1_i/<const0>_2,design_1_i/<const0>_3,design_1_i/<const0>_4,design_1_i/<const0>_5,design_1_i/processing_system7_0_M_AXI_GP0_ARQOS[3:0],design_1_i/<const0>_6,design_1_i/<const0>_7,design_1_i/processing_system7_0_M_AXI_GP0_AWQOS[3:0],design_1_i/processing_system7_0_M_AXI_GP0_RID[11:0],design_1_i/<const0>_8,design_1_i/processing_system7_0_M_AXI_GP0_RLAST,design_1_i/<const0>_9,design_1_i/processing_system7_0_M_AXI_GP0_WLAST,design_1_i/<const0>,design_1_i/processing_system7_0_M_AXI_GP0_WID[11:0]
9,9,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
10,10,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
11,11,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
12,12,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
13,13,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
14,14,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
15,15,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
16,16,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
17,17,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
18,18,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
19,19,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
20,20,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
21,21,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
22,22,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
23,23,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
24,24,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
25,25,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
26,26,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
27,27,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
28,28,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
29,29,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
30,30,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
31,31,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
32,32,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
33,33,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
34,34,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
35,35,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
36,36,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
37,37,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
38,38,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
39,39,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
40,40,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
41,41,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
42,42,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
43,43,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
44,44,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
45,45,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
46,46,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
47,47,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
48,48,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
49,49,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
50,50,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
51,51,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
52,52,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
53,53,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
54,54,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
55,55,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
56,56,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
57,57,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
58,58,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
59,59,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
60,60,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
61,61,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
62,62,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
63,63,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
64,64,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
65,65,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
66,66,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
67,67,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
68,68,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
69,69,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
70,70,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
71,71,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
72,72,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
73,73,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
74,74,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
75,75,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
76,76,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
77,77,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
78,78,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
79,79,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
80,80,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
81,81,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
82,82,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
83,83,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
84,84,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
85,85,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
86,86,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
87,87,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
88,88,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
89,89,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
90,90,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
91,91,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
92,92,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
93,93,0,0,43c00000,0,0,1,d400e8df,1,0,0,1,00000000,0,1,0,55555555,f,0,3,1,c00,c00,0,0,2,1,cff,0,9,3,3,2,f,2,0,0,0,0,7,0,0,0,000,0,0,0,1,0,c00
