Sample in Buffer,Sample in Window,TRIGGER,design_1_i/processing_system7_0_M_AXI_GP0_WREADY,design_1_i/processing_system7_0_M_AXI_GP0_AWADDR[31:0],design_1_i/processing_system7_0_M_AXI_GP0_BRESP[1:0],design_1_i/processing_system7_0_M_AXI_GP0_BVALID,design_1_i/processing_system7_0_M_AXI_GP0_BREADY,design_1_i/processing_system7_0_M_AXI_GP0_ARADDR[31:0],design_1_i/processing_system7_0_M_AXI_GP0_RREADY,design_1_i/processing_system7_0_M_AXI_GP0_WVALID,design_1_i/processing_system7_0_M_AXI_GP0_ARVALID,design_1_i/processing_system7_0_M_AXI_GP0_ARREADY,design_1_i/processing_system7_0_M_AXI_GP0_RDATA[31:0],design_1_i/processing_system7_0_M_AXI_GP0_AWVALID,design_1_i/processing_system7_0_M_AXI_GP0_AWREADY,design_1_i/processing_system7_0_M_AXI_GP0_RRESP[1:0],design_1_i/processing_system7_0_M_AXI_GP0_WDATA[31:0],design_1_i/processing_system7_0_M_AXI_GP0_WSTRB[3:0],design_1_i/processing_system7_0_M_AXI_GP0_RVALID,design_1_i/processing_system7_0_M_AXI_GP0_ARPROT[2:0],design_1_i/processing_system7_0_M_AXI_GP0_AWPROT[2:0],design_1_i/processing_system7_0_M_AXI_GP0_AWID[11:0],design_1_i/processing_system7_0_M_AXI_GP0_BID[11:0],design_1_i/processing_system7_0_M_AXI_GP0_AWLEN[3:0],design_1_i/<const0>_1,design_1_i/processing_system7_0_M_AXI_GP0_AWSIZE[2:0],design_1_i/processing_system7_0_M_AXI_GP0_AWBURST[1:0],design_1_i/processing_system7_0_M_AXI_GP0_ARID[11:0],design_1_i/processing_system7_0_M_AXI_GP0_AWLOCK[1:0],design_1_i/processing_system7_0_M_AXI_GP0_ARLEN[3:0],design_1_i/processing_system7_0_M_AXI_GP0_ARSIZE[2:0],design_1_i/processing_system7_0_M_AXI_GP0_ARBURST[1:0],design_1_i/processing_system7_0_M_AXI_GP0_ARLOCK[1:0],design_1_i/processing_system7_0_M_AXI_GP0_ARCACHE[3:0],design_1_i/processing_system7_0_M_AXI_GP0_AWCACHE[3:0],design_1_i/<const0>_2,design_1_i/<const0>_3,design_1_i/<const0>_4,design_1_i/<const0>_5,design_1_i/processing_system7_0_M_AXI_GP0_ARQOS[3:0],design_1_i/<const0>_6,design_1_i/<const0>_7,design_1_i/processing_system7_0_M_AXI_GP0_AWQOS[3:0],design_1_i/processing_system7_0_M_AXI_GP0_RID[11:0],design_1_i/<const0>_8,design_1_i/processing_system7_0_M_AXI_GP0_RLAST,design_1_i/<const0>_9,design_1_i/processing_system7_0_M_AXI_GP0_WLAST,design_1_i/<const0>,design_1_i/processing_system7_0_M_AXI_GP0_WID[11:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
25,25,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
26,26,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
27,27,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
28,28,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
29,29,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
30,30,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
31,31,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
32,32,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
33,33,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
34,34,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
35,35,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
36,36,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
37,37,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
38,38,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
39,39,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
40,40,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
41,41,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
42,42,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
43,43,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
44,44,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
45,45,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
46,46,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
47,47,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
48,48,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
49,49,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
50,50,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
51,51,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
52,52,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
53,53,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
54,54,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
55,55,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
56,56,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
57,57,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
58,58,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
59,59,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
60,60,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
61,61,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
62,62,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
63,63,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
64,64,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
65,65,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
66,66,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
67,67,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
68,68,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
69,69,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
70,70,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
71,71,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
72,72,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
73,73,0,0,ef7f07ea,0,0,1,d500eedf,1,0,0,1,00000000,0,1,0,faea9be9,b,0,7,6,fd4,000,7,0,2,3,cff,3,9,3,3,2,f,f,0,0,0,0,e,0,0,9,000,0,0,0,0,0,7fb
