Sample in Buffer,Sample in Window,TRIGGER,design_1_i/ps7_0_axi_periph_M00_AXI_WREADY,design_1_i/ps7_0_axi_periph_M00_AXI_AWADDR[3:0],design_1_i/ps7_0_axi_periph_M00_AXI_BRESP[1:0],design_1_i/ps7_0_axi_periph_M00_AXI_BVALID,design_1_i/ps7_0_axi_periph_M00_AXI_BREADY,design_1_i/ps7_0_axi_periph_M00_AXI_ARADDR[3:0],design_1_i/ps7_0_axi_periph_M00_AXI_RREADY,design_1_i/ps7_0_axi_periph_M00_AXI_WVALID,design_1_i/ps7_0_axi_periph_M00_AXI_ARVALID,design_1_i/ps7_0_axi_periph_M00_AXI_ARREADY,design_1_i/ps7_0_axi_periph_M00_AXI_RDATA[31:0],design_1_i/ps7_0_axi_periph_M00_AXI_AWVALID,design_1_i/ps7_0_axi_periph_M00_AXI_AWREADY,design_1_i/ps7_0_axi_periph_M00_AXI_RRESP[1:0],design_1_i/ps7_0_axi_periph_M00_AXI_WDATA[31:0],design_1_i/ps7_0_axi_periph_M00_AXI_WSTRB[3:0],design_1_i/ps7_0_axi_periph_M00_AXI_RVALID,design_1_i/ps7_0_axi_periph_M00_AXI_ARPROT[2:0],design_1_i/ps7_0_axi_periph_M00_AXI_AWPROT[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
49,49,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
50,50,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
51,51,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
52,52,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
53,53,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
54,54,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
55,55,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
56,56,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
57,57,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
58,58,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
59,59,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
60,60,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
61,61,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
62,62,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
63,63,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
64,64,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
65,65,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
66,66,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
67,67,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
68,68,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
69,69,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
70,70,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
71,71,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
72,72,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
73,73,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
74,74,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
75,75,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
76,76,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
77,77,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
78,78,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
79,79,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
80,80,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
81,81,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
82,82,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
83,83,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
84,84,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
85,85,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
86,86,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
87,87,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
88,88,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
89,89,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
90,90,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
91,91,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
